"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C8","8","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C9,C10,C11","3","0.1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","LED0","","","","LED_SMD:LED_0805_2012Metric","~"
"D2","1","LED1","","","","LED_SMD:LED_0805_2012Metric","~"
"D3","1","LED2","","","","LED_SMD:LED_0805_2012Metric","~"
"D4","1","LED3","","","","LED_SMD:LED_0805_2012Metric","~"
"D5","1","LED4","","","","LED_SMD:LED_0805_2012Metric","~"
"D6","1","LED5","","","","LED_SMD:LED_0805_2012Metric","~"
"D7","1","LED6","","","","LED_SMD:LED_0805_2012Metric","~"
"D8","1","LED7","","","","LED_SMD:LED_0805_2012Metric","~"
"J1","1","Top","","","","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~"
"J2","1","Right","","","","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","~"
"J3","1","Left","","","","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","~"
"MT1","1","PEC11R-4215F-S0024","","","","LiF_PCB_Footprints:XDCR_PEC11R-4215F-S0024",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11","11","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"RN1,RN2,RN3","3","8x 470","","","","LiF_PCB_Footprints:RESCAXE50P380X160X55-16N","https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf"
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8","8","TL3301PF160QG","","","","LiF_PCB_Footprints:SW_TL3301PF160QG","https://configured-product-images.s3.amazonaws.com/Datasheets/TL3301.pdf"
"U1","1","DC56-11EWA","","","","Display_7Segment:DA56-11SURKWA","http://www.kingbrightusa.com/images/catalog/SPEC/DC56-11EWA.pdf"
