Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",0805,8,1u,
"C10, C11, C9",0805,3,0.1u,
D1,0805,1,LED0,
D2,0805,1,LED1,
D3,0805,1,LED2,
D4,0805,1,LED3,
D5,0805,1,LED4,
D6,0805,1,LED5,
D7,0805,1,LED6,
D8,0805,1,LED7,
J1,PinSocket_1x10_P2.54mm_Vertical,1,Top,
J2,PinSocket_1x19_P2.54mm_Vertical,1,Right,
J3,PinSocket_1x16_P2.54mm_Vertical,1,Left,
MT1,XDCR_PEC11R-4215F-S0024,1,PEC11R-4215F-S0024,
"R1, R10, R11, R2, R3, R4, R5, R6, R7, R8, R9",0805,11,10k,
"RN1, RN2, RN3",RESCAXE50P380X160X55-16N,3,8x 470,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",SW_TL3301PF160QG,8,TL3301PF160QG,
U1,DA56-11SURKWA,1,DC56-11EWA,
