Designator,Mid X,Mid Y,Rotation,Layer
C1,118.0,-147.0,0.0,top
C10,145.0,-145.5,270.0,top
C11,124.51,-141.5,270.0,top
C2,158.0,-147.0,0.0,top
C3,118.0,-131.0,0.0,top
C4,158.0,-131.0,0.0,top
C5,118.0,-115.0,0.0,top
C6,158.0,-115.0,0.0,top
C7,118.0,-99.0,0.0,top
C8,158.0,-99.0,0.0,top
C9,145.25,-133.25,0.0,top
D1,115.0,-137.0,0.0,top
D2,155.0,-137.0,0.0,top
D3,115.0,-121.0,0.0,top
D4,155.0,-121.0,0.0,top
D5,115.0,-105.0,0.0,top
D6,155.0,-105.0,0.0,top
D7,115.0,-89.0,0.0,top
D8,155.0,-89.0,0.0,top
J1,155.0,-61.75,270.0,bottom
J2,168.0,-113.34,180.0,bottom
J3,102.0,-117.15,0.0,bottom
MT1,135.25,-142.0,90.0,top
R1,112.0,-147.0,0.0,top
R10,145.0,-141.5,270.0,top
R11,124.5,-137.5,270.0,top
R2,152.0,-147.0,0.0,top
R3,112.0,-131.0,0.0,top
R4,152.0,-131.0,0.0,top
R5,112.0,-115.0,0.0,top
R6,152.0,-115.0,0.0,top
R7,112.0,-99.0,0.0,top
R8,152.0,-99.0,0.0,top
R9,141.25,-133.24,0.0,top
RN1,114.0,-80.0,0.0,top
RN2,114.0,-67.0,0.0,top
RN3,165.0,-85.5,90.0,top
SW1,115.0,-142.0,0.0,top
SW2,155.0,-142.0,0.0,top
SW3,115.0,-126.0,0.0,top
SW4,155.0,-126.0,0.0,top
SW5,115.0,-110.0,0.0,top
SW6,155.0,-110.0,0.0,top
SW7,115.0,-94.0,0.0,top
SW8,155.0,-94.0,0.0,top
U1,135.0725,-73.9175,90.0,top
